Percent,Real_Goal,Time,Cost,Prob,Results
10,15,52790800,53/52/53/53/53/52/53/53/52/52/53/53/52/53/53/52/52/52/53/53/53/,0.047276012000522796/0.04817648049915042/0.047276012000522796/0.047276012000522796/0.047276012000522796/0.04817648049915042/0.047276012000522796/0.047276012000522796/0.04817648049915042/0.04817648049915042/0.047276012000522796/0.047276012000522796/0.04817648049915042/0.047276012000522796/0.047276012000522796/0.04817648049915042/0.04817648049915042/0.04817648049915042/0.047276012000522796/0.047276012000522796/0.047276012000522796/,1/5/8/9/12/15/16/17/
10,16,49484300,51/50/50/50/51/50/51/51/50/51/50/50/50/51/50/50/50/51/50/50/50/,0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/,1/2/3/5/8/10/11/12/14/15/16/18/19/20/
10,18,55619400,51/50/51/51/51/50/51/51/51/51/51/50/51/51/51/51/51/51/50/51/51/,0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/,1/5/11/18/
10,16,47405200,51/50/50/50/51/50/51/51/50/51/50/50/50/51/50/50/50/51/50/50/50/,0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/,1/2/3/5/8/10/11/12/14/15/16/18/19/20/
10,17,34919400,51/51/50/51/51/51/51/51/51/51/51/51/50/51/51/51/51/51/50/51/51/,0.04748472459717326/0.04748472459717326/0.04842498575029375/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04842498575029375/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04748472459717326/0.04842498575029375/0.04748472459717326/0.04748472459717326/,2/12/18/
10,7,39105500,51/51/51/51/51/51/51/51/51/51/50/51/50/51/51/51/51/51/51/51/51/,0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04847056073562341/0.04752941465940805/0.04847056073562341/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/,10/12/
10,7,46642700,51/51/51/51/51/51/51/51/51/51/50/51/50/51/51/51/51/51/51/51/51/,0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04847056073562341/0.04752941465940805/0.04847056073562341/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/0.04752941465940805/,10/12/
10,18,40623900,50/50/50/51/51/50/51/51/50/50/50/50/50/50/51/50/50/50/50/51/51/,0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.046998623814719136/0.04792925952121188/0.046998623814719136/0.046998623814719136/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.04792925952121188/0.046998623814719136/0.046998623814719136/,0/1/2/5/8/9/10/11/12/13/15/16/17/18/
10,18,45746800,51/50/51/51/51/50/51/51/51/51/51/50/51/51/51/51/51/51/50/51/51/,0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/,1/5/11/18/
10,18,47405500,51/50/51/51/51/50/51/51/51/51/51/50/51/51/51/51/51/51/50/51/51/,0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/,1/5/11/18/
10,18,35202000,51/50/51/51/51/50/51/51/51/51/51/50/51/51/51/51/51/51/50/51/51/,0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.047440118496651425/0.04837949638923142/0.047440118496651425/0.047440118496651425/,1/5/11/18/
10,19,39073700,51/50/51/51/51/51/51/51/50/51/50/51/51/51/51/51/51/51/51/51/51/,0.04748472459717324/0.04842498575029373/0.04748472459717324/0.04748472459717324/0.04748472459717324/0.04748472459717324/0.04748472459717324/0.04748472459717324/0.04842498575029373/0.04748472459717324/0.04842498575029373/0.04748472459717324/0.04748472459717324/0.047484724
